,X,STUDY_ID,REVIEWERS,INCLUDE,STUDY_ID.1,TITLE,AU,PY,ABSTRACT
268,33,345,Kelly,not vetted,3989,Temporal changes in macrofauna as response indicator to potential human pressures on sandy beaches,BESSA FILIPA;GONCALVES SILVIA C;FRANCO JOAO N;ANDRE JOSE N;CUNHA PEDRO P;MARQUES JOAO CARLOS,2014,"Sandy beaches are natural dynamic ecosystems, which are becoming worldwide increasingly disturbed by intensive human direct use, coastal development and erosive evolution. In this study, we have examined whether ten years of potential increased human pressures have resulted in significant changes in the macrofaunal assemblages' structure and composition of two mesotidal sandy beaches (cabedelo - urban beach, and quiaios - rural beach) on the european atlantic coast (portugal). Seasonal macrofauna collections were performed at both beaches in two different periods, one in 1999-2000 and another in 2010-2011. The physical variables did not change significantly in both beaches throughout the studied periods, however, the urban beach was subject to an increase of human pressures (tourism and shoreline modifications) over the 10-years interval considered when compared with the rural beach. The univariate community descriptors (total density, species richness and diversity) did not differ significantly among periods for the rural beach. In contrast, temporal differences were found at the most urbanised beach, principally regarding the abundances of the amphipod talitrus saltator and the isopod tylos europaeus, two of the most abundant species at both beaches. Permanova tests enhanced these temporal variations and the simper analysis attributed to these species the main differences found between periods in this beach. Since the physical environment was similar in both periods, the ecological changes were most likely attributed to the increased human pressures observed at the urban beach. Nevertheless, this study highlights the need of further robust and effective impact assessments and long-term studies to better discern between natural and human induced changes on sandy beaches. (C) 2014 elsevier ltd. All rights reserved."
269,34,347,Kelly,not vetted,4831,"Visitor impact on rocky shore communities of qeshm island, the persian gulf, iran",POUR FATEMEH AGHAJAN;SHOKRI MOHAMMAD REZA;ABTAHI BEHROOZ,2013,"The influence of visitors on macroinvertebrates of rocky intertidal shores was investigated in southern coasts of the qeshm island, the persian gulf, iran. Qeshm island located at the strait of hormuz, with an area of 1,491 km(2), is the largest island in the region. This island consists of a number of important natural habitat types including creeks, mangroves, corals, and sandy, muddy, and rocky shores that accommodate diverse marine flora and fauna communities. Two rocky shores were selected at the touristic beaches being visited regularly, and further two control locations selected at pristine shores. Intertidal macroinvertebrates were collected from six microhabitats including rock platforms, cobbles, boulders, crevices, sea walls, and rock pools during two different periods representing high and low tourist seasons. Species richness, density, and assemblage structure in heavily visited shores were compared with that of control locations. Striped barnacles (balanus amphitrite) were present on platforms of all locations, thus the changes in their size were used as the obvious contrast associated with visitor's impact. A total of 70 macroinvertebrate species from 11 phyla were recorded. Significant differences were detected in taxonomic richness, density, and assemblage structure of macroinvertebrates between heavily visited and pristine shores, suggesting that macroinvertebrates were adversely affected by visitors' impact at heavily visited shores. The test of changes in species richness, density, and assemblage structure from high to low seasons yielded mixed results. The significant changes in density and assemblage structure from high to low seasons were only observed in one heavily visited shore. A significant reduction in size of striped barnacles was observed only in one heavily visited shore. The opportunistic or fugitive species (e.g., small macroalgae and barnacles) were dominant macroinvertebrates on heavily visited shores indicating early succession stage. The results presented here showed that macroinvertebrates were adversely affected by human activities in subtropical rocky shore."
270,35,381,Kelly,not vetted,1337,"Organochlorine pesticides in protected areas: el hito lake (cuenca, central spain)",SANCHEZ-PALENCIA YOLANDA;ORTIZ JOSE E;TORRES TRINIDAD;LLAMAS JUAN,2017,"Background el hito lake is an ephemeral saline water mass present most of the year as a gypsiferous salt pan that is temporarily flooded during rainy periods, when it becomes a refuge for migratory birds such as flamingos and cranes, among others. It is considered an important hotspot of biodiversity and as such is covered by protection status. Purpose in order to check the environmental condition of the lake and determine the spatial distribution and source of organochlorine pesticides (ocps), we performed a detailed soil and sediment sampling campaign with the catchment and dry lake bottom. Methods we present the first environmental evaluation of its current state with respect to ocps: hexachlorobenzene (hcb), hexachlorocyclohexanes (alpha-, beta-, gamma- and delta-hch), dichlorodiphenyltrichloroethane (ddt) and its metabolites (dde and ddd), and cyclodienes (aldrin, dieldrin, endrin, endrin aldehyde, endrin ketone, alpha-chlordane, gamma-chlordane, endosulfan i, endosulfanii, endosulfan sulphate, heptachlor, heptachlor epoxide b and metoxichlor). Results some of the compounds showed concentrations above the soil screening levels (ssls) for human health and ecosystems: gamma-hch (100 mu g/kg), alpha-hch (60 mu g/kg), endrin (30 mu g/kg), aldrin (30 mu g/kg) and heptachlor epoxide b (30 mu g/kg). Various indices were used to determine the origin of the compounds. Conclusion historical uses were interpreted, although there were traces of recent input. Distribution maps of concentration and indices demonstrate a relationship between farming and cropping and the maxima observed, being possible that ocps have influence in living beings, especially birds."
271,36,387,Kelly,not vetted,1661,Bird mortality due to collisions in glass panes on an important bird area of southeastern brazil,SANTOS LUCAS PENNA SOARES;DE ABREU VINICIUS FERREIRA;DE VASCONCELOS MARCELO FERREIRA,2017,"Human-caused alterations to the environment are important causes of the loss of bird biodiversity globally. Collisions with windows are the second leading human cause of mortality for birds, and it is estimated that 100 million to one billion birds die due to window collisions annually in the us alone. However, in brazil there have been no systematic studies on bird mortality due to collisions with man-made structures. Our aims with this study were to record the bird species that died due to collisions with windows in an important bird area of southeastern brazil, accessing the effects of species characteristics (forest dependence, wing type, threaten status, endemism, migratory habits) and climatic seasonality on bird-window collisions. Dead birds were collected daily during 2010 to 2013 and occasional records were obtained from 2000-2009 and 2014-2015 in reserva particular do patrimonio natural santuario do caraca, minas gerais, southeastern brazil. We found 168 birds individuals of 57 species dead due to collisions against windows. Individuals classified as forest dependent and with elliptical type wings were the most common among birds dead due to collisions. There was no difference between the number of dead individuals in the dry and rainy seasons, and rainfall was not correlated with bird collisions. The occurrence of threatened, endemic and migrant species in our sample demonstrates the importance to continue this type of research in brazil and other localities throughout the neotropics. Our data can support studies that investigate the influence of other factors and characteristics of natural history of bird collisions, particularly in areas with similar man-made structures as at our study site."
272,37,407,Kelly,not vetted,2414,"Community assembly in temperate forest birds: habitat filtering, interspecific interactions and priority effects",KLINGBEIL BRIAN T;WILLIG MICHAEL R,2016,"Recent attempts to understand the processes governing community assembly have increasingly focused on patterns of phylogenetic relatedness and functional similarity among co-existing species. Considerations of the species pool, the number and identity of functional traits and the metrics used to identify patterns have come under scrutiny as possible influences on the detection of non-random patterns. Most mechanistic explanations of community assembly based on functional and phylogenetic approaches rely on deterministic explanations, while ignoring the role of stochastic processes and historical contingency, despite the prominent historical role of both types of explanations of species coexistence. We evaluated the phylogenetic and functional structure of 20 temperate forest bird assemblages in northeastern north america. We compared three approaches for characterizing the functional structure of assemblages. Regardless of approach, assemblages were generally no different than expected by chance. In contrast, phylogenetic structures of bird assemblages were overdispersed, clumped or consistent with random assembly depending on the site. Nonetheless, we found little evidence for differences in phylogenetic structure arising as a consequence of the identity of the species pool. We identified a strong relationship between the proportion of residents and phylogenetic relatedness that was unrelated to the species richness of assemblages. Our results suggest that different assembly mechanisms may structure resident and migratory subsets of temperate breeding bird communities. Resident assemblages are likely structured by interspecific interactions and habitat filtering prior to arrival of migrants. In contrast, the composition of migrant assemblages may be a consequence of priority effects in which the presence and abundance of residents and earliest arriving species affect the ability of subsequent migrants to colonize sites. This phenomenon enhances the likelihood of multiple alternative community structures in similar environments."
273,38,417,Kelly,not vetted,2557,"Impacts of mining and urbanization on the qin-ba mountainous environment, china",XU XINLIANG;CAI HONGYAN;SUN DAOWEI;HU LAN;BANSON KWAMINA E,2016,"The qin-ba ecological functional zone is a component of china's ecological security pattern designed to protect the regional ecosystem and maintain biodiversity. However, due to the impact of mining and urban encroachment, the plight of a sustainable ecosystem in the qin-ba mountainous area is deteriorating. This paper has used a remote sensing and geographic information system (gis) to examine the impacts of mining and urban encroachment on the environment in the qin-ba mountainous area. The results indicate that the total mined area in 2013 was 22 km(2) and is predicted to escalate. Results also show that the ecosystems in fengxian county, shaanxi province and baokang county, hubei province were most severely affected by mining. Urbanization in the qin-ba mountainous area has seen an increase of 85.58 km(2) in urban land use from 2010 to 2013. In addition, infrastructure development including airport construction, tourism resorts and real estate development in the qin-ba mountainous area has intensified environmental and biodiversity disturbances since large areas of forest have been cleared. Our results should provide insight and assistance to city planners and government officials in making informed decisions."
274,39,419,Kelly,not vetted,2642,"Impacts of aquaculture on fish biodiversity in the freshwater lake laguna de bay, philippines",CUVIN-ARALAR MARIA LOURDES A,2016,"Laguna de bay is the largest inland water body in the philippines, being used predominantly for aquaculture and open water fisheries. Aquaculture in the lake began decades ago, with many changes in the lake ecosystem having occurred since that time. Most dominant species for fish culture are introduced species. Other invasive species were also introduced to the lake as escapees from land-based aquaculture facilities. This study was conducted to monitor fish diversity in two adjacent, but distinctly different, sites in the lake, namely an open fishery area (ofs), with no adjacent aquaculture structures, and an aquaculture site (aqs), with cages for the culture of various commodities. Fish traps were installed at both sites, with the traps being sampled at least every 2weeks from april 2013 to february 2015. The results of pairwise t-tests indicated significantly higher shannon-wiener diversity index (h), evenness (j), simpson's similarity index (d) and species richness (s) in ofs than in aqs. In terms of total catch per day, significantly greater fish biomass were obtained from aqs than from ofs. Introduced aquaculture species had a mean dominance of 83% and 47% in aqs and ofs, respectively. However, invasive species introduced from the ornamental fish trade exhibited a mean relative dominance of 10.3% in aqs and 13.5% in ofs. The relative dominance of native species was also significantly higher in ofs (41%) than in aqs (6.5%). The results of this study demonstrated the adverse impacts of aquaculture in regard to the species diversity of fish in localized areas in laguna de bay. The dependency of aquaculture on introduced fish species adversely impacted the natural fish population in the lake. Focusing on the culture of commercially important local species for aquaculture, rather than introduced species, will improve fish production of inland waters without accompanying adverse impacts on biodiversity."
275,40,426,Kelly,not vetted,3100,Long-term spatio-temporal changes in a west african bushmeat trade system,MCNAMARA J;KUSIMI J M;ROWCLIFFE J M;COWLISHAW G;BRENYAH A;MILNER-GULLAND E J,2015,"Landscapes in many developing countries consist of a heterogeneous matrix of mixed agriculture and forest. Many of the generalist species in this matrix are increasingly traded in the bushmeat markets of west and central africa. However, to date there has been little quantification of how the spatial configuration of the landscape influences the urban bushmeat trade over time. As anthropogenic landscapes become the face of rural west africa, understanding the dynamics of these systems has important implications for conservation and landscape management. The bushmeat production of an area is likely to be defined by landscape characteristics such as habitat disturbance, hunting pressure, level of protection, and distance to market. We explored (ssg, tense) the role of these four characteristics in the spatio-temporal dynamics of the commercial bushmeat trade around the city of kumasi, ghana, over 27 years (1978 to 2004). We used geographic information system methods to generate maps delineating the spatial characteristics of the landscapes. These data were combined with spatially explicit market data collected in the main fresh bushmeat market in kumasi to explore the relationship between trade volume (measured in terms of number of carcasses) and landscape characteristics. Over time, rodents, specifically cane rats (thryonomys swinderianus), became more abundant in the trade relative to ungulates and the catchment area of the bushmeat market expanded. Areas of intermediate disturbance supplied more bushmeat, but protected areas had no effect. Heavily hunted areas showed significant declines in bushmeat supply over time. Our results highlight the role that low intensity, heterogeneous agricultural landscapes can play in providing ecosystem services, such as bushmeat, and therefore the importance of incorporating bushmeat into ecosystem service mapping exercises. Our results also indicate that even where high bushmeat production is possible, current harvest levels may cause wildlife depletion."
276,41,456,Kelly,not vetted,4528,Changing wildlife populations in nairobi national park and adjoining athi-kaputiei plains: collapse of the migratory wildebeest.,OGUTU JOSEPH O;OWEN-SMITH NORMAN;PIEPHO HANS-PETER;SAID MOHAMMED Y;KIFUGO SHEM C;REID ROBIN S;GICHOHI HELEN;KAHUMBU PAULA;ANDANJE SAMULE,2013,"There is mounting concern about declines in wildlife populations in many protected areas in africa. Migratory ungulates are especially vulnerable to impacts of changing land use outside protected areas on their abundance. Range compression may compromise the capacity of migrants to cope with climatic variation, and accentuate both competitive interactions and predation. We analyzed the population dynamics of 11 ungulate species within kenya's nairobi national park, and compared them to those in the adjoining athi-kaputiei plains, where human settlements and other developments had expanded. The migratory wildebeest decreased from almost 30,000 animals in 1978 to around 5,000 currently but the migratory zebra changed little regionally. Hartebeest, impala, eland, thomson's gazelle, grant's gazelle, waterbuck, warthog and giraffe numbers declined regionally, whereas buffalo numbers expanded. Bimonthly counts indicated temporary movements of several species beyond the unfenced park boundaries, especially during very wet years and that few wildebeest entered the park during the dry season following exceptionally wet conditions in 1998. Wildebeest were especially vulnerable to anthropogenic impacts in their wet season dispersal range on the plains. Deterioration in grassland conditions in the park following high rainfall plus lack of burning may have discouraged these animals from using the park as a dry season refuge. Our findings emphasise the interdependency between the park and the plains for seasonal wildlife movements, especially in exceptionally dry or wet years. To effectively conserve these ungulates, we recommend implementation of the new land-use plan for the athi-kaputiei plains by the county government; expansion of the land leasing program for biodiversity payments; collecting poacher's snares; negotiation and enforcement of easements, allowing both wildlife and livestock to move through the athi-kaputiei plains, providing incentives for conservation to landowners; and improving grassland conditions within the park through controlled burning so that more wildlife can gain protection there."
277,42,459,Kelly,not vetted,4733,Tourism as a threat to critically endangered and endangered birds: global patterns and trends in conservation hotspots,STEVEN ROCHELLE;CASTLEY J GUY,2013,"More than 12 % of bird species are threatened with extinction. Numerous anthropogenic activities and processes are considered responsible for such declines, including tourism related activities. These activities often occur in global biodiversity hotspots but few studies consider the potential risks associated with tourism. The relative importance of tourism as a threat to birds was quantified using a global analysis of the threats facing critically endangered and endangered birds in the hotspots. Sixty-three critically endangered and endangered bird species are reportedly threatened by tourism. Among those 63 species, marine, coastal and aquatic birds are threatened more by tourism than was expected. Hotspots with the most species threatened by tourism are polynesia-micronesia and the mediterranean basin. This study uses individual threatening processes in a new way to characterise hotspots for conservation action, advancing previous identification criteria. Analysing hotspots in terms of the relative presence of individual threatening processes may help to more effectively direct future research in these priority regions."
278,43,483,Kelly,not vetted,5972,Understanding changes in business strategies regarding biodiversity and ecosystem services,HOUDET JOEL;TROMMETTER MICHEL;WEBER JACQUES,2012,"Business activities play a major role in biodiversity loss so that firms are under increasing pressures from stakeholders to mitigate their negative impacts on ecosystems. As business attitudes, policies and behaviors regarding biodiversity and ecosystem services (bes) progressively change, a better understanding of how business strategies may be framed and implemented is required. In the first part of this paper, we discuss how biodiversity is usually understood as an external environmental constraint on business activities, and how this perception influences arbitrages. We then discuss how assessing bes interdependencies (impacts and dependencies) may bring about new business strategies and needs: we explore the opportunities and challenges of emerging mechanisms of payments for ecosystem services and expose the need for standardized sets of indicators at different scales for the effective management of their bes dependencies and impacts. (C) 2011 elsevier b.v. All rights reserved."
279,44,499,Kelly,not vetted,25,Species richness may determine the income from illicit wild orchid trading in traditional markets in mexico,ANTONIO JIMENEZ-LOPEZ DERIO;SOLANO RODOLFO;PERALTA-CARRETA CANDELARIO;SOLORZANO JONATHAN V;GERARDO CHAVEZ-ANGELES MANUEL,2019,"The orchid trade is an informal activity in mexico traditionally performed by indigenous people; however, this activity, based on the extraction of wild specimens without a management plan, is sanctioned by environmental laws. Few studies have documented the extraction volumes for illicitly traded orchids, the status of the populations affected by this activity, the socioeconomic profiles of the vendors, or the factors determining income, which are essential for designing strategies to conserve this resource. We documented species richness, abundance, and prices for orchids traded during december in traditional markets in chiapas, mexico. The relationships among price, species showiness, and some variables determining income were evaluated. We recorded 28 traded species, all of which were extracted from neighboring, protected, and high-biodiversity forests. The most income was generated from three species, which were also the most abundant in the markets. This trade affects the conservation of two threatened mexican orchids, but at a state level, it also impacts populations of other species that are not considered at risk. A significant relationship was found between the price of an orchid and its flower size and between the vendor's income and the quantity of orchids traded by him. The income obtained by a vendor was significantly explained by orchid inflorescence abundance, vendor's age, and a biodiversity index estimated here."
280,45,512,Kelly,not vetted,309,The influence of tourism on deforestation and biodiversity.,SERGO Z;PERSURIC A S I;MATOSEVIC I,2014,"Sustainable use of space is often influenced by human activities causing adverse effects on biodiversity. Human impact on land and its natural reserves is very obvious in the case of forests. International tourism as an income-generating human activity also affects biodiversity and forests. Therefore, this paper analyses international tourism arrivals as a factor influencing deforestation in a global framework. The mankiw, romer and weil (1992) growth model is applied to estimate the rate of deforestation, using the rate of change of tourism arrivals, economic growth rate, and population growth rate. Descriptive and inferential analysis was used to explain the various cross-national data used in this paper."
281,46,522,Kelly,not vetted,789,RECURRENT BRIDGEHEAD EFFECTS ACCELERATE GLOBAL ALIEN ANT SPREAD,BERTELSMEIER CLEO;OLLIER SEBASTIEN;LIEBHOLD ANDREW M;BROCKERHOFF ECKEHARD G;WARD DARREN;KELLER LAURENT,2018,"BIOLOGICAL INVASIONS ARE A MAJOR THREAT TO BIOLOGICAL DIVERSITY, AGRICULTURE, AND HUMAN HEALTH. TO PREDICT AND PREVENT NEW INVASIONS, IT IS CRUCIAL TO DEVELOP A BETTER UNDERSTANDING OF THE DRIVERS OF THE INVASION PROCESS. THE ANALYSIS OF 4,533 BORDER INTERCEPTION EVENTS REVEALED THAT AT LEAST 51 DIFFERENT ALIEN ANT SPECIES WERE INTERCEPTED AT US PORTS OVER A PERIOD OF 70 YEARS (1914-1984), AND 45 ALIEN SPECIES WERE INTERCEPTED ENTERING NEW ZEALAND OVER A PERIOD OF 68 YEARS (1955-2013). MOST OF THE INTERCEPTIONS DID NOT ORIGINATE FROM SPECIES' NATIVE RANGES BUT INSTEAD CAME FROM INVADED AREAS. IN THE UNITED STATES, 75.7% OF THE INTERCEPTIONS CAME FROM A COUNTRY WHERE THE INTERCEPTED ANT SPECIES HAD BEEN PREVIOUSLY INTRODUCED. IN NEW ZEALAND, THIS VALUE WAS EVEN HIGHER, AT 87.8%. THERE WAS AN OVERREPRESENTATION OF INTERCEPTIONS FROM NEARBY LOCATIONS (LATIN AMERICA FOR SPECIES INTERCEPTED IN THE UNITED STATES AND OCEANIA FOR SPECIES INTERCEPTED IN NEW ZEALAND). THE PROBABILITY OF A SPECIES' SUCCESSFUL ESTABLISHMENT IN BOTH THE UNITED STATES AND NEW ZEALAND WAS POSITIVELY RELATED TO THE NUMBER OF INTERCEPTIONS OF THE SPECIES IN THESE COUNTRIES. MOREOVER, SPECIES THAT HAVE SPREAD TO MORE CONTINENTS ARE ALSO MORE LIKELY TO BE INTERCEPTED AND TO MAKE SECONDARY INTRODUCTIONS. THIS CREATES A POSITIVE FEEDBACK LOOP BETWEEN THE INTRODUCTION AND ESTABLISHMENT STAGES OF THE INVASION PROCESS, IN WHICH INITIAL ESTABLISHMENTS PROMOTE SECONDARY INTRODUCTIONS. OVERALL, THESE RESULTS REVEAL THAT SECONDARY INTRODUCTIONS ACT AS A CRITICAL DRIVER OF INCREASING GLOBAL RATES OF INVASIONS."
282,47,526,Kelly,not vetted,902,NEW INSIGHTS ON WATER BUFFALO GENOMIC DIVERSITY AND POST-DOMESTICATION MIGRATION ROUTES FROM MEDIUM DENSITY SNP CHIP DATA,COLLI LICIA;MILANESI MARCO;VAJANA ELIA;IAMARTINO DANIELA;BOMBA LORENZO;PUGLISI FRANCESCO;DEL CORVO MARCELLO;NICOLAZZI EZEQUIEL L;AHMED SAHAR S E;HERRERA JESUS R V;CRUZ LIBERTADO;ZHANG SHUJUN;LIANG AIXIN;HUA GUOHUA;YANG LIGUO;HAO XINGJIE;ZUO FUYUAN;LAI SONG-JIA;WANG SHUILIAN;LIU RUYU;GONG YUNDENG;MOKHBER MAHDI;MAO YONGJIANG;GUAN FENG;VLAIC AUGUSTIN;VLAIC BOGDAN;RAMUNNO LUIGI;COSENZA GIANFRANCO;AHMAD ALI;SOYSAL IHSAN;UNAL EMEL O;KETUDAT-CAIRNS MARIENA;GARCIA JOSE F;UTSUNOMIYA YURI T;BARUSELLI PIETRO S;AMARAL MARIA E J;PARNPAI RANGSUN;DRUMMOND MARCELA G;GALBUSERA PETER;BURTON JAMES;HOAL EILEEN;YUSNIZAR YULNAWATI;SUMANTRI CECE;MOIOLI BIANCA;VALENTINI ALESSIO;STELLA ALESSANDRA;WILLIAMS JOHN L;AJMONE-MARSAN PAOLO,2018,"THE DOMESTIC WATER BUFFALO IS NATIVE TO THE ASIAN CONTINENT BUT THROUGH HISTORICAL MIGRATIONS AND RECENT IMPORTATIONS, NOWADAYS HAS A WORLDWIDE DISTRIBUTION. THE TWO TYPES OF WATER BUFFALO, I.E., RIVER AND SWAMP, DISPLAY DISTINCT MORPHOLOGICAL AND BEHAVIORAL TRAITS, DIFFERENT KARYOTYPES AND ALSO HAVE DIFFERENT PURPOSES AND GEOGRAPHICAL DISTRIBUTIONS. RIVER BUFFALOES FROM PAKISTAN, IRAN, TURKEY, EGYPT, ROMANIA, BULGARIA, ITALY, MOZAMBIQUE, BRAZIL AND COLOMBIA, AND SWAMP BUFFALOES FROM CHINA, THAILAND, PHILIPPINES, INDONESIA AND BRAZIL WERE GENOTYPED WITH A SPECIES-SPECIFICMEDIUM-DENSITY 90K SNP PANEL. WE ESTIMATED THE LEVELS OF MOLECULAR DIVERSITY AND DESCRIBED POPULATION STRUCTURE, WHICH REVEALED HISTORICAL RELATIONSHIPS BETWEEN POPULATIONS AND MIGRATION EVENTS. THREE DISTINCT GENE POOLS WERE IDENTIFIED IN PURE RIVER AS WELL AS IN PURE SWAMP BUFFALO POPULATIONS. GENOMIC ADMIXTURE WAS SEEN IN THE PHILIPPINES AND IN BRAZIL, RESULTING FROM IMPORTATIONS OF ANIMALS FOR BREED IMPROVEMENT. OUR RESULTS WERE LARGELY CONSISTENT WITH PREVIOUS ARCHEOLOGICAL, HISTORICAL AND MOLECULAR-BASED EVIDENCE FOR TWO INDEPENDENT DOMESTICATION EVENTS FOR RIVER-AND SWAMP-TYPE BUFFALOES, WHICH OCCURRED IN THE INDO-PAKISTANI REGION AND CLOSE TO THE CHINA/INDOCHINA BORDER, RESPECTIVELY. BASED ON A GEOGRAPHICAL ANALYSIS OF THE DISTRIBUTION OF DIVERSITY, OUR EVIDENCE ALSO INDICATED THAT THE WATER BUFFALO SPREAD OUT OF THE DOMESTICATION CENTERS FOLLOWED TWO MAJOR DIVERGENT MIGRATION DIRECTIONS: RIVER BUFFALOES MIGRATED WEST FROM THE INDIAN SUB-CONTINENT WHILE SWAMP BUFFALOES MIGRATED FROM NORTHERN INDOCHINA VIA AN EAST-SOUTH-EASTERN ROUTE. THESE DATA SUGGEST THAT THE CURRENT DISTRIBUTION OF WATER BUFFALO DIVERSITY HAS BEEN SHAPED BY THE COMBINED EFFECTS OF MULTIPLE MIGRATION EVENTS OCCURRED AT DIFFERENT STAGES OF THE POST-DOMESTICATION HISTORY OF THE SPECIES."
283,48,572,Kelly,not vetted,3511,Ecosystem change and establishment of an invasive snail alter gastropod communities in long-lived lake malawi,VAN BOCXLAER BERT;ALBRECHT CHRISTIAN,2015,"Biotic invasions can have far-reaching effects in isolated, eco-insular systems such as the african great lakes, certainly in synergy with other anthropogenic stressors that affect ecosystem stability. Interactions between invasive and indigenous taxa across trophic levels often tend to propagate throughout the ecosystem, but also those at the same trophic level may affect biodiversity. Here, we examine faunal interactions between an invasive asian morph of the cerithioidean gastropod melanoides tuberculata and indigenous gastropods in long-lived lake malawi. Studying quantitative samples, we document a negative spatial correlation between the established invader and endemic melanoides species, and positive ones between invasive and native m. Tuberculata, and between native melanoides and schistosome-transmitting bulinus. Comparison of modern and fossil samples indicates that melanoides communities have changed since the middle holocene from consisting predominantly of endemic taxa (95%) toward a dominance by non-endemics (80%). External evidence suggests that ecosystem change, such as increased sedimentation and eutrophication, and interactions between the invasive and endemic melanoides species are the most likely causes for these changes. More in-depth study of the benthic ecosystem is required to document interaction mechanisms better, but the invasive taxon is playing an important role in reshaping communities and diversity in lake malawi."
284,1,77,All,not vetted,6655,LARGE MAMMAL SPECIES RICHNESS AND HABITAT USE IN AN UPPER AMAZONIAN FOREST USED FOR ECOTOURISM,SALVADOR SALVADOR;CLAVERO MIGUEL;PITMAN RENATA LEITE,2011,"ecotourism has often been presented as the only sustainable source of incomes for the inhabitants of upper amazonia, yet the real socioeconomic benefits of the activity remain controversial and its impact on wildlife, poorly studied. we assessed the diversity of large mammals in a land plot used for ecotourism in the banks of alto madre de dios river (manu biosphere reserve, peru) by conducting 186 km of walk censuses complemented with interviews over a period of 4 months. we found that the species richness and composition were similar to those found in two adjacent pristine sites, but varied within seasons and forest types. the floodplain forest seemed to host a large number of species continuously throughout the year, whereas the terra firme was occupied by a consistently impoverished fauna during the dry season scarcity period. our results confirm the existence of lateral seasonal movements between forest types and subtypes and the preference of many species for riverine habitats. therefore, we advocate that ecotourism reserves along major rivers may act as effective faunal refugees and provide one of the few opportunities for the conservation of floodplain habitats outside strictly protected areas in a mosaic landscape threatened by bouncing populations of colonists. (c) 2010 deutsche gesellschaft fur saugetierkunde. published by elsevier gmbh. all rights reserved."
285,2,94,All,not vetted,2577,Selective responses of benthic foraminifera to thermal pollution,TITELBOIM DANNA;ALMOGI-LABIN AHUVA;HERUT BARAK;KUCERA MICHAL;SCHMIDT CHRISTIANE;HYAMS-KAPHZAN ORIT;OVADIA OFER;ABRAMOVICH SIGAL,2016,"Persistent thermohaline pollution at a site along the northern coast of israel, due to power and desalination plants, is used as a natural laboratory to evaluate the effects of rising temperature and salinity levels on benthic foraminifera living in shallow hard-bottom habitats. Biomonitoring of the disturbed area and a control station shows that elevated temperature is a more significant stressor compared to salinity, thus causing a decrease in abundance and richness. Critical temperature thresholds were observed at 30 and 35 degrees c, the latter representing the most thermally tolerant species in the studied area pararotalia calcariformata, which is the only symbiont-bearing species observed within the core of the heated area. Common species of the shallow hard-bottom habitats including several lessepsian invaders are almost absent in the most exposed site indicating that excess warming will likely impede the survival of these species that currently benefit from the ongoing warming of the eastern mediterranean. (C) 2016 elsevier ltd. All rights reserved."
286,3,109,All,not vetted,3924,The role of fragmentation and landscape changes in the ecological release of common nest predators in the neotropics,COVE MICHAEL V;MANUEL SPINOLA R;JACKSON VICTORIA L;SAENZ JOEL C,2014,"Loss of large mammalian carnivores may allow smaller mesopredators to become abundant and threaten other community members. There is considerable debate about mesopredator release and the role that other potential factors such as landscape variables and human alterations to land cover lead to increased mesopredator abundance. We used camera traps to detect four mesopredators (tayra, eira barbara; white-nosed coati, nasua narica; northern raccoon, procyon lotor; and common opossum, didelphis opossum) in a biological corridor in costa rica to estimate habitat covariates that influenced the species' detection and occurrence. We selected these mesopredators because as semi-arboreal species they might be common nest predators, posing a serious threat to resident and migratory songbirds. Pineapple production had a pronounced positive effect on the detectability of tayras, while forest cover had a negative effect on the detection of coatis. This suggests that abundance might be elevated due to the availability of agricultural food resources and foraging activities are concentrated in forest fragments and pineapple edge habitats. Raccoon and opossum models exhibited little influence on detection from habitat covariates. Occurrence models did not suggest any significant factors influencing site use by nest predators, revealing that all four species are habitat generalists adapted to co-existing in human altered landscapes. Furthermore, fragmentation and land cover changes may predispose nesting birds, herpetofauna, and small mammals to heightened predation risk by mesopredators in the neotropics."
287,4,153,All,not vetted,3456,EFFECT OF RECREATIONAL DIVING ON PATAGONIAN ROCKY REEFS,BRAVO GONZALO;MARQUEZ FEDERICO;MARZINELLI EZEQUIEL M;MENDEZ MARIA M;BIGATTI GREGORIO,2015,"tourism has grown considerably in the last decades, promoting activities such as recreational scuba diving that may affect marine benthic communities. in puerto madryn, patagonia argentina, sub-aquatic tourism areas (sta) receive about 7,000 divers per year. diving is concentrated on a few small rocky reefs and 50% of the dives occur in summer. in this work, we evaluated the effect of recreational diving activities on benthic communities and determined whether diving causes a press (long-term) or a pulse (short-term) response. we quantified the percentage cover of benthic organisms and compared benthic assemblage structure and composition between two sites with contrasting usage by divers, 'highly disturbed' and 'moderately disturbed' sites, and two 'control' sites with similar physical characteristics but no diving activity, twice before and after the diving peak in summer. we found differences in benthic assemblage structure (identity and relative abundance of taxa) and composition (identity only) among diving sites and controls. these differences were consistent before and after the peak of diving in summer, suggesting that recreational diving may produce a press impact on overall benthic assemblage structure and composition in these sta. at the moderately disturbed site, however, covers of specific taxa, such as some key habitat-forming or highly abundant species, usually differed from those in controls only immediately after summer, after which they begun to resemble controls, suggesting a pulse impact. thus, sta in golfo nuevo seem to respond differently to disturbances of diving depending on the usage of the sites. this information is necessary to develop sound management strategies in order to preserve local biodiversity. (c) 2014 elsevier ltd. all rights reserved."
