"biodiv_countries","paper_id","list_countries","data_source_meta","data_source_biodiv","tele_cat","data_type_meta","data_type_biodiv","habitat","list_continents","timestamp","coder_id","year_pub","author","taxa_list","scale_entire","num_time_pd","year_start","year_end","temp_res","temp_res_unk","meta_var_type","b4_dur_after","peri_tele_flows","peri_tele_sep","peri_tele_sep_unk","scale_biodiv","comments","num_biodiv_metrics","list_biodiv_metrics","further_discuss","taxa"
"IND",4207,"IND","Secondary","Primary","remove","Social science field surveys","Biological field observations","Terrestrial","Asia","5/12/2020 16:57","R_Chen",2017,"Goswami","Mammals","Sub-national (within-country region)","1","2008","2008","Annually","","Continuous","After","how conflict affect biodiversity","No","","Sub-national (within-country region)","","1","density of animals","No","Mammals"
"ZAF",44,"ZAF","Secondary","Secondary","Other","Social science field surveys","Biological field observations;Remote sensing","Terrestrial","Africa","3/19/2020 13:14","E_Xing",2019,"Mokotjomela","Plants","Sub-national (within-country region)",NA,NA,NA,"Other","na","Categorical","1","Biodiversity Economy Strategy at South Africa","No","na","subnational","na","1","no such data in Chinese survey","No","Plants"
"THA",3485,"THA","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Asia","4/16/2020 1:17","E_Xing",2015,"Hein","Other","Sub-national (within-country region)","1","2013","2013","Other","na","Categorical","after","�high-use�or �low-use� sites of dive tourism according to sedimentation, diving pressure, snorkelling pressure, waste-water run-off, and boat traffic","No","na","subnational","na","6","no such data in Chinese survey","No","Other"
"FRA;ESP",3668,"USA;ESP;FRA","Other","Primary","Species Dispersal","Other","Biological field observations","Freshwater","Europe","4/16/2020 2:12","E_Xing",2015,"Meyer","Reptiles;Amphibians","Intercontinental (>2 continents)","1",NA,NA,"Other","na","Categorical","after","red-eared slider turtle exported from USA to Europe","Yes","na","international 1 continent","na","1","no such data in Chinese survey","No","Reptiles;Amphibians"
"MNG;IND;CHN",4574,"MNG;IND;CHN","Primary;Secondary","Primary;Secondary","Trade","Other","Biological field observations;Aggregate institutional data","Terrestrial","Asia","5/11/2020 2:21","E_Xing",2013,"BERGER","Mammals","Internaitonal (within a continent; e.g., European Union)","1","2006","2007","Other","na","Continuous","1","biomass of domestic goat","No","na","international 1 continent","na","1","no such data in Chinese survey","No","Mammals"
"USA",5804,"USA","Primary","Primary","Migration (non-human)","Field observations","Biological field observations","Terrestrial","North America","5/11/2020 23:37","E_Xing",2012,"FITZGERALD","Other","Sub-national (within-country region)","34","1993","2009","Other","na","Continuous","na","alien species","No","na","subnational","na","1","no such data in Chinese survey","No","Other"
"BRA",3583,"BRA","Secondary","Primary","Tourism","Social science field surveys","Biological field observations","Freshwater","South America","5/14/2020 15:58","E_Xing",2015,"Bispo","Invertebrates","Sub-national (within-country region)","15","2009","2011","Monthly;Other","na","Continuous","before and after holidays","tourists","No","na","subnational","na","2","no such data in Chinese survey","No","Invertebrates"
"COL",1488,"COL","Primary","Primary","Trade","Other","Biological field observations","Terrestrial","South America","common paper","common paper",2017,"Lopez-Ricaurte","Birds","common paper","common paper","common paper","common paper","common paper","common paper","Categorical","common paper","common paper","common paper","common paper","common paper","; ; na; Scale of entire system: ambiguous because recipient countries of palm oil exports are not specified. 

Number of countries involved: Unclear due to previous reasons

Unclear temporal resolution because data were aggregated into one time period. ; invasive spp impact?; ; ; ; ","3","common paper","common paper","Birds"
"ARG",3456,"ARG","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","South America","common paper","common paper",2015,"Bravo","Invertebrates, Plants/trees/shrubs","common paper","common paper","common paper","common paper","common paper","common paper","Categorical","common paper","common paper","common paper","common paper","common paper","Believe this example first the inside/outside college campus example but will complete survey 3; ; ; ; ; ; na; Unclear number of countries involved bc unclear number of countries of origin for tourists. 

Very confused about how to report the results of this analysis. ; ; Confusing","2","common paper","common paper","Invertebrates; Plants"
"CRI",3924,"CRI","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","South America","common paper","common paper",2014,"Cove","Mammals","common paper","common paper","common paper","common paper","common paper","common paper","Categorical","common paper","common paper","common paper","common paper","common paper","study reports both detection and occurrence probability, but only occurrence counts as a BD metric; ; ; ; Scale of entire system is unclear. Pineapple plantations are implied to be fore exportation, but it's unclear where they're going. I put intercontinental, but that is a big assumption. 

Number of countries involved is also unclear for reasons stated above. 

Number of time periods: Put 3 because there were three field seasons during which camera traps were collected. ; ; ","2","common paper","common paper","Mammals"
"PER",6655,"PER","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","South America","common paper","common paper",2011,"Salvador","Mammals","common paper","common paper","common paper","common paper","common paper","common paper","Categorical","common paper","common paper","common paper","common paper","common paper","Compared to both sites, tourist site had seven less species
NOTE that authors do not consider this to be a substantial difference, use as evidence that eco-tourism is good for bd; not too much information on metacoupling; ; See Survey 1. ; na; ; ; ""Scale of entire system"" is unclear given that it is not specified where the tourists are coming from. I chose intercontinental, but that was entirely a guess. 

Similarly, no idea how to deal with ""Number of countries involved"" when we don't know which countries the tourists are coming from. 

Number of time periods: Put 62 because that's the total number of surveys conducted. 

Metacoupling data type: Chose categorical because they compared reserve with tourists to reserve without tourists. ","1","common paper","common paper","Mammals"
